,Name,charge_1,charge_2,dx,energy
0,N2,7,7,"[0, 0]",-108.9824432909006
1,NO +,7,8,"[0, 1]",-128.950505504676
2,CN -,6,7,"[-1, 0]",-92.33559264449815
3,NC -,7,6,"[0, -1]",-92.33559264449838
4,ON +,8,7,"[1, 0]",-128.95050550467616
5,O2 2+,8,8,"[1, 1]",-148.30145097813735
6,NF 2+,7,9,"[0, 2]",-152.50890019044513
7,CO,6,8,"[-1, 1]",-112.78639209982677
8,BN 2-,5,7,"[-2, 0]",-78.80931732335972
9,C2 2-,6,6,"[-1, -1]",-75.32477843203961
10,NB 2-,7,5,"[0, -2]",-78.80931616300293
11,OC,8,6,"[1, -1]",-112.78639209982677
12,FN 2+,9,7,"[2, 0]",-152.50890019044454
13,OF 3+,8,9,"[1, 2]",-171.14271954843724
14,CF +,6,9,"[-1, 2]",-136.91133528558248
15,BO -,5,8,"[-2, 1]",-99.5896693519777
16,BC 3-,5,6,"[-2, -1]",-61.60798331938445
17,CB 3-,6,5,"[-1, -2]",-61.607984192725375
18,OB -,8,5,"[1, -2]",-99.58966987392219
19,FC +,9,6,"[2, -1]",-136.91133528558242
20,FO 3+,9,8,"[2, 1]",-171.1427195484345
